shipment_id,ship_date,origin,destination_region,carrier,promised_days,actual_days,weight_kg,shipping_cost,late_flag,damage_claim
SHP-000001,2025-04-11,Rotterdam,apac,swiftline,3,1,722.5,945.84,0,0
SHP-000002,2025-08-24,Dallas,west,swiftline,5,5,543.7,868.58,0,0
SHP-000003,2025-02-05,LA,east,airbridge,10,9,257.0,348.57,0,0
SHP-000004,2025-04-20,LA,central,oceanic,3,5,653.6,342.1,1,0
SHP-000005,2025-01-24,Dallas,apac,swiftline,7,6,860.9,428.85,0,0
SHP-000006,2025-01-03,Chicago,east,oceanic,10,10,788.7,1325.36,0,0
SHP-000007,2025-09-22,Dallas,east,northstar,7,8,668.6,860.16,1,0
SHP-000008,2025-01-21,Rotterdam,apac,swiftline,10,8,506.2,409.06,0,0
SHP-000009,2025-06-23,Shanghai,west,swiftline,10,10,795.9,1263.51,0,0
SHP-000010,2025-09-05,Dallas,west,airbridge,10,11,504.2,808.04,1,0
SHP-000011,2025-06-27,LA,east,swiftline,10,8,390.4,435.95,0,0
SHP-000012,2025-02-24,Rotterdam,west,oceanic,2,3,110.7,207.55,1,0
SHP-000013,2025-02-22,Shanghai,central,northstar,3,1,721.8,918.53,0,0
SHP-000014,2026-01-22,Shanghai,west,oceanic,5,6,379.8,268.35,1,0
SHP-000015,2025-12-20,LA,west,airbridge,7,8,614.7,1014.46,1,0
SHP-000016,2025-08-21,LA,east,northstar,10,9,171.3,311.0,0,0
SHP-000017,2025-12-30,LA,east,northstar,5,4,672.4,239.51,0,0
SHP-000018,2025-02-23,Shanghai,emea,northstar,7,8,458.9,801.36,1,0
SHP-000019,2025-07-17,Dallas,central,northstar,3,1,32.9,73.17,0,0
SHP-000020,2025-06-17,Shanghai,central,northstar,7,8,843.4,1320.35,1,0
SHP-000021,2026-02-15,Chicago,emea,oceanic,2,2,665.2,690.01,0,0
SHP-000022,2025-03-12,Chicago,west,oceanic,10,11,767.9,542.33,1,0
SHP-000023,2025-05-21,Rotterdam,apac,airbridge,2,1,103.9,180.31,0,0
SHP-000024,2025-10-06,LA,central,oceanic,3,5,739.6,536.94,1,0
SHP-000025,2026-02-17,Rotterdam,west,airbridge,10,8,503.9,368.6,0,0
SHP-000026,2025-02-28,Rotterdam,west,northstar,10,12,29.6,134.77,1,0
SHP-000027,2025-08-17,Rotterdam,central,airbridge,7,5,164.0,176.98,0,0
SHP-000028,2025-09-26,Chicago,east,swiftline,5,4,422.9,674.44,0,0
SHP-000029,2025-10-27,Chicago,apac,northstar,7,4,407.2,315.75,0,0
SHP-000030,2025-08-05,Rotterdam,central,airbridge,10,8,260.3,282.74,0,0
SHP-000031,2025-05-12,Shanghai,apac,swiftline,7,7,177.7,351.97,0,0
SHP-000032,2025-05-18,LA,central,airbridge,10,10,409.2,477.66,0,0
SHP-000033,2025-08-11,Rotterdam,central,northstar,2,1,432.3,466.95,0,0
SHP-000034,2025-02-19,LA,east,northstar,7,6,221.2,399.6,0,0
SHP-000035,2026-01-24,LA,emea,oceanic,7,7,751.4,701.33,0,0
SHP-000036,2025-08-06,Dallas,east,swiftline,10,10,359.3,263.88,0,0
SHP-000037,2025-09-16,LA,apac,airbridge,5,4,418.2,164.26,0,0
SHP-000038,2025-04-12,Rotterdam,west,northstar,5,5,158.0,199.46,0,0
SHP-000039,2025-02-07,Rotterdam,east,swiftline,7,8,637.3,773.57,1,0
SHP-000040,2025-12-07,Dallas,central,northstar,3,3,383.9,380.68,0,0
SHP-000041,2025-09-24,Chicago,apac,oceanic,3,4,49.7,81.67,1,0
SHP-000042,2025-10-15,Dallas,emea,swiftline,10,8,38.4,109.24,0,0
SHP-000043,2025-06-09,Chicago,central,swiftline,10,6,588.3,408.94,0,0
