lead_id,created_date,city,channel,property_type,budget,visits_scheduled,offer_made,closed_won,days_to_close
LED-000001,2025-09-08,Miami,paid_search,multi_family,690781,0,0,0,
LED-000002,2025-10-31,Denver,referral,townhouse,736077,1,0,0,
LED-000003,2025-10-30,Austin,paid_search,condo,642800,3,0,0,
LED-000004,2026-01-16,Austin,referral,single_family,974687,2,0,0,
LED-000005,2025-01-05,Denver,agent_network,townhouse,407395,0,0,0,
LED-000006,2025-10-16,Seattle,portal,condo,750305,3,0,0,
LED-000007,2025-06-09,Miami,portal,townhouse,462702,1,1,0,24
LED-000008,2025-02-28,Miami,portal,single_family,918784,2,0,0,
LED-000009,2025-03-25,Miami,paid_search,townhouse,989162,5,0,0,
LED-000010,2025-02-27,Austin,agent_network,multi_family,737017,1,0,0,
LED-000011,2025-10-19,Denver,referral,single_family,1070911,2,0,0,
LED-000012,2025-09-09,Denver,referral,condo,926680,0,0,0,
LED-000013,2025-04-12,Austin,referral,condo,321480,1,0,0,
LED-000014,2025-01-09,Denver,referral,multi_family,534339,2,1,0,1
LED-000015,2025-04-04,Denver,agent_network,townhouse,264673,1,1,0,27
LED-000016,2026-01-18,Austin,walk_in,condo,984305,2,0,0,
LED-000017,2025-12-31,Miami,agent_network,condo,838748,2,0,0,
LED-000018,2025-04-26,Austin,agent_network,townhouse,840387,2,0,0,
LED-000019,2025-11-11,Miami,agent_network,multi_family,534347,3,0,0,
LED-000020,2025-01-29,Denver,referral,townhouse,649914,3,1,0,1
LED-000021,2026-01-31,Miami,referral,townhouse,729190,5,0,0,
LED-000022,2025-09-07,Miami,paid_search,condo,681491,4,1,0,1
LED-000023,2025-03-14,Seattle,agent_network,single_family,711657,2,0,0,
LED-000024,2025-07-25,Austin,walk_in,townhouse,638558,0,0,0,
LED-000025,2025-01-19,Miami,walk_in,townhouse,1019852,3,0,0,
LED-000026,2025-11-23,Miami,portal,single_family,572851,2,0,0,
LED-000027,2025-06-17,Seattle,portal,townhouse,304416,4,0,0,
LED-000028,2025-04-01,Boston,walk_in,multi_family,492314,2,0,0,
LED-000029,2025-08-22,Miami,walk_in,condo,222564,0,0,0,
LED-000030,2025-12-21,Austin,paid_search,single_family,715545,3,0,0,
LED-000031,2025-11-03,Austin,portal,multi_family,432075,0,0,0,
LED-000032,2025-05-14,Seattle,walk_in,single_family,989470,2,0,0,
LED-000033,2025-02-19,Seattle,walk_in,multi_family,938279,0,0,0,
LED-000034,2025-12-28,Austin,paid_search,single_family,969038,4,1,0,31
LED-000035,2025-03-02,Boston,agent_network,multi_family,303853,3,1,0,70
LED-000036,2025-12-19,Miami,walk_in,condo,644000,2,0,0,
LED-000037,2025-09-17,Boston,referral,condo,400682,4,1,0,23
LED-000038,2025-02-23,Boston,paid_search,multi_family,359335,2,1,0,38
LED-000039,2025-01-07,Miami,portal,townhouse,724824,1,1,0,51
LED-000040,2025-07-30,Denver,paid_search,condo,467468,0,0,0,
LED-000041,2025-08-08,Denver,portal,multi_family,874235,3,1,0,21
LED-000042,2025-11-24,Miami,agent_network,townhouse,783372,1,0,0,
LED-000043,2025-11-02,Boston,agent_network,multi_family,483632,0,0,0,
LED-000044,2025-01-21,Miami,referral,condo,492247,2,0,0,
