claim_id,submitted_date,department,employee_level,category,amount,policy_violation,reimbursed_days,vendor
EXP-000001,2025-01-09,marketing,director,training,33.71,0,5,airline
EXP-000002,2025-07-10,sales,director,office,86.7,0,6,saas
EXP-000003,2025-06-10,sales,manager,client_event,41.95,0,8,restaurant
EXP-000004,2025-02-09,marketing,IC,office,69.63,0,9,office_depot
EXP-000005,2025-06-01,engineering,director,client_event,146.85,0,6,restaurant
EXP-000006,2025-11-19,sales,vp,office,12.03,0,1,saas
EXP-000007,2025-12-27,marketing,director,software,71.34,0,4,office_depot
EXP-000008,2026-01-23,sales,manager,travel,33.52,1,12,airline
EXP-000009,2025-01-10,sales,IC,office,79.44,0,5,conference
EXP-000010,2025-10-28,engineering,director,office,126.35,0,11,conference
EXP-000011,2026-02-15,finance,IC,travel,36.75,0,2,conference
EXP-000012,2026-01-16,engineering,IC,software,49.75,0,8,restaurant
EXP-000013,2025-11-26,engineering,manager,office,55.25,0,4,restaurant
EXP-000014,2025-12-22,finance,vp,software,113.14,0,12,airline
EXP-000015,2025-09-20,marketing,IC,client_event,102.55,1,5,conference
EXP-000016,2025-03-07,sales,manager,travel,76.01,0,5,conference
EXP-000017,2025-01-05,finance,IC,client_event,27.31,0,7,saas
EXP-000018,2025-10-24,finance,IC,travel,72.82,0,9,office_depot
EXP-000019,2025-11-30,marketing,IC,client_event,148.8,0,8,conference
EXP-000020,2025-09-03,operations,director,software,20.06,0,4,restaurant
EXP-000021,2025-03-19,marketing,vp,client_event,46.51,0,3,office_depot
EXP-000022,2025-06-15,sales,vp,office,91.87,0,1,restaurant
EXP-000023,2025-12-28,finance,vp,office,59.52,0,7,airline
EXP-000024,2025-03-19,finance,manager,training,175.93,0,5,hotel
EXP-000025,2025-01-04,engineering,IC,office,71.36,0,3,restaurant
EXP-000026,2025-06-27,operations,manager,travel,57.72,0,10,saas
EXP-000027,2025-10-16,finance,manager,client_event,53.38,0,13,office_depot
EXP-000028,2025-08-03,finance,manager,software,103.48,1,9,office_depot
EXP-000029,2025-01-28,finance,manager,client_event,45.57,0,12,conference
EXP-000030,2025-05-19,marketing,manager,office,125.22,0,7,office_depot
EXP-000031,2025-04-13,operations,manager,meals,48.79,0,7,airline
EXP-000032,2025-07-23,operations,IC,office,78.05,0,10,restaurant
EXP-000033,2026-02-18,marketing,director,client_event,40.85,0,7,saas
EXP-000034,2025-04-20,sales,vp,meals,28.0,0,4,office_depot
EXP-000035,2025-10-23,sales,director,client_event,67.02,0,6,office_depot
EXP-000036,2025-05-01,finance,director,software,88.62,0,6,airline
EXP-000037,2025-08-18,marketing,director,office,327.83,0,10,airline
EXP-000038,2025-02-25,finance,director,office,160.06,0,4,restaurant
EXP-000039,2025-07-10,finance,IC,client_event,132.87,0,3,conference
EXP-000040,2025-09-27,engineering,vp,software,69.71,0,4,airline
EXP-000041,2025-11-30,finance,manager,training,109.95,0,4,saas
EXP-000042,2025-08-19,engineering,vp,office,301.35,0,11,airline
EXP-000043,2025-05-29,engineering,vp,travel,53.72,0,8,airline
EXP-000044,2025-11-08,sales,manager,software,47.78,0,9,conference
EXP-000045,2025-06-06,engineering,vp,training,233.87,0,8,saas
EXP-000046,2025-12-10,marketing,director,software,21.6,0,4,restaurant
EXP-000047,2025-10-20,operations,vp,travel,85.41,0,9,conference
EXP-000048,2026-01-30,engineering,director,meals,142.01,0,7,airline
EXP-000049,2025-01-08,sales,vp,software,199.97,0,5,office_depot
EXP-000050,2026-02-19,finance,vp,software,99.6,0,7,conference
EXP-000051,2025-10-21,engineering,manager,training,33.63,0,7,restaurant
EXP-000052,2026-02-04,sales,vp,software,65.92,0,9,conference
EXP-000053,2025-12-10,sales,director,software,101.47,0,6,saas
EXP-000054,2025-03-30,finance,manager,office,36.43,0,7,airline
EXP-000055,2025-11-20,operations,manager,software,129.23,0,4,office_depot
EXP-000056,2025-11-17,finance,vp,training,17.41,0,6,conference
EXP-000057,2025-12-29,sales,IC,travel,14.06,0,11,conference
EXP-000058,2025-03-06,sales,IC,meals,133.62,0,9,office_depot
EXP-000059,2026-01-05,marketing,IC,software,35.81,0,11,conference
EXP-000060,2025-01-23,finance,manager,software,43.92,0,4,saas
EXP-000061,2025-05-15,finance,manager,training,49.8,0,4,airline
EXP-000062,2025-05-05,marketing,IC,software,39.92,0,8,airline
EXP-000063,2026-02-12,finance,vp,travel,307.54,1,10,conference
EXP-000064,2025-03-03,operations,manager,client_event,189.21,0,9,hotel
